original_name,clean_name_x,url,source_url,land_size_sqm,master_plan_gfa_sqm,master_plan_plot_ratio,project_name,street_name,postal_code_x,property_type,tenure,district_planning_area,completion,number_of_units,historical_high,indicative_average_price_from_historical_high,historical_low,buyer_profile_by_residential_status,buyer_profile_by_purchaser_address,indicative_price_range_average,indicative_rental_range_average,implied_rental_yield,developer,age_years,architect,main_contractor,status,clean_name_y,address,postal_code_y,latitude,longitude,blk_no,road_name,search_query,nearest_mrt,mrt_distance,mrt_station_code
38 I SUITES,38-i-suites,https://www.edgeprop.sg/condo-apartment/38-i-suites,https://www.edgeprop.sg/condo-apartment/38-i-suites,"2,179","6,100",2.8,38 I SUITES,Ipoh Lane,438646,Apartment,Freehold,D15 / Geylang,2014,120 units,"S$ 1,873 psf in Jul 2024 for a 667-sqft unit",-9.2%,"S$ 883 psf in Feb 2020 for a 1,076-sqft unit","Singaporean 79.3%, PR 12.0%, Foreigner 8.7%, Company 0.0%","HDB 48.4%, Private 51.6%","S$ 1,052 - S$ 1,873 psf / S$ 1,700 psf",S$ 2.7 - S$ 6.9 psf pm / S$ 5.3 psf pm,3.7%,SUSTAINED LAND PTE LTD,11.0,,,,38-i-suites,38 IPOH LANE 38 I SUITES SINGAPORE 438646,438646,1.31169308156397,103.896306665361,38,IPOH LANE,38 I SUITES,PAYA LEBAR MRT STATION,719.1847518822761,Exit D
ROYAL COURT,royal-court,https://www.edgeprop.sg/condo-apartment/royal-court,https://www.edgeprop.sg/condo-apartment/royal-court,"1,947","3,875",1.99,ROYAL COURT,Jalan Rajawali,598436,Apartment,Freehold,D21 / Bukit Timah,1998,31 units,"S$ 1,307 psf in Sep 2023 for a 2,357-sqft unit",0.0%,"S$ 406 psf in Mar 2006 for a 1,055-sqft unit","Singaporean 79.1%, PR 11.9%, Foreigner 3.0%, Company 1.5%","HDB 48.4%, Private 51.6%","S$ 1,307 - S$ 1,307 psf / S$ 1,307 psf",S$ 2.8 - S$ 3.6 psf pm / S$ 3.3 psf pm,3.0%,,,,,,royal-court,3 JALAN RAJAWALI ROYAL COURT SINGAPORE 598436,598436,1.34367677730896,103.769064363268,3,JALAN RAJAWALI,ROYAL COURT,BEAUTY WORLD MRT STATION,747.1590470243517,Exit B
THE RITZ-CARLTON RESIDENCES SINGAPORE CAIRNHILL,the-ritz-carlton-residences-singapore-cairnhill,https://www.edgeprop.sg/condo-apartment/the-ritz-carlton-residences-singapore-cairnhill,https://www.edgeprop.sg/condo-apartment/the-ritz-carlton-residences-singapore-cairnhill,"5,239","14,668",2.8,THE RITZ-CARLTON RESIDENCES SINGAPORE CAIRNHILL,Cairnhill Road,229721,Apartment,Freehold,D9 / Newton,2011,58 units,"S$ 5,397 psf in Jan 2024 for a 3,057-sqft unit",-30.0%,"S$ 2,508 psf in Mar 2016 for a 2,831-sqft unit","Singaporean 30.0%, PR 25.0%, Foreigner 35.0%, Company 10.0%","HDB 5.1%, Private 94.9%","S$ 3,038 - S$ 4,514 psf / S$ 3,776 psf",S$ 6.3 - S$ 10.2 psf pm / S$ 7.4 psf pm,2.3%,ROYCE PROPERTIES PTE LTD,14.0,,,,the-ritz-carlton-residences-singapore-cairnhill,"65 CAIRNHILL ROAD THE RITZ-CARLTON RESIDENCES, SINGAPORE, CAIRNHILL SINGAPORE 229721",229721,1.30803126826052,103.836183107285,65,CAIRNHILL ROAD,"THE RITZ-CARLTON RESIDENCES, SINGAPORE, CAIRNHILL",NEWTON MRT STATION,503.4377641189725,Exit B
CITIGATE RESIDENCE,citigate-residence,https://www.edgeprop.sg/condo-apartment/citigate-residence,https://www.edgeprop.sg/condo-apartment/citigate-residence,572,"1,715",3.0,CITIGATE RESIDENCE,Rangoon Road,218437,Apartment,Freehold,D8 / Kallang,2010,28 units,"S$ 1,589 psf in Apr 2013 for a 614-sqft unit",-5.1%,S$ 796 psf in Jul 2015 for a 753-sqft unit,"Singaporean 79.7%, PR 13.6%, Foreigner 5.1%, Company 1.7%","HDB 49.2%, Private 50.8%","S$ 1,508 - S$ 1,508 psf / S$ 1,508 psf",S$ 3.6 - S$ 8.0 psf pm / S$ 5.7 psf pm,4.5%,SPRINGLIFE CAPITAL PTE LTD,15.0,,,,citigate-residence,168 RANGOON ROAD CITIGATE RESIDENCE SINGAPORE 218437,218437,1.31660680940599,103.853325577811,168,RANGOON ROAD,CITIGATE RESIDENCE,FARRER PARK MRT STATION,376.2319530260309,Exit B
CASA CAMBIO,casa-cambio,https://www.edgeprop.sg/condo-apartment/casa-cambio,https://www.edgeprop.sg/condo-apartment/casa-cambio,"6,696","5,638",1.4,CASA CAMBIO,Lim Tua Tow Road,"547726, 547803",Condominium,Freehold,D19 / Serangoon,2014,198 units,"S$ 1,760 psf in May 2024 for a 409-sqft unit",-9.1%,"S$ 1,009 psf in Apr 2012 for a 1,399-sqft unit","Singaporean 82.3%, PR 17.7%, Foreigner 0.0%, Company 0.0%","HDB 57.2%, Private 42.8%","S$ 1,286 - S$ 1,745 psf / S$ 1,600 psf",S$ 3.4 - S$ 6.9 psf pm / S$ 5.6 psf pm,4.2%,URBAN LOFTS PTE LTD,11.0,,,,casa-cambio,9 LIM TUA TOW ROAD CASA CAMBIO SINGAPORE 547726,547726,1.35368823040023,103.876444615904,9,LIM TUA TOW ROAD,CASA CAMBIO,SERANGOON MRT STATION,460.2049401239783,Exit C
PARK VIEW MANSION,park-view-mansion,https://www.edgeprop.sg/condo-apartment/park-view-mansion,https://www.edgeprop.sg/condo-apartment/park-view-mansion,"17,835","37,454",2.1,PARK VIEW MANSION,Yuan Ching Road,"618643, 618644, 618645, 618646",Apartment,"99 Yrs From 01/06/1971, 99 Yrs From 01/08/1973, 99 Yrs From 01/08/1971, 99 Yrs From 01/10/1976",D22 / Jurong East,Unknown,160 units,"S$ 862 psf in Jul 2021 for a 1,119-sqft unit",48.7%,"S$ 135 psf in Mar 2005 for a 1,335-sqft unit","Singaporean 73.1%, PR 18.3%, Foreigner 4.3%, Company 4.3%","HDB 59.1%, Private 40.9%","S$ 1,282 - S$ 1,282 psf / S$ 1,282 psf",S$ 2.9 - S$ 2.9 psf pm / S$ 2.9 psf pm,2.7%,,,,,,,,,,,,,,,,
JOO CHIAT MANSIONS,joo-chiat-mansions,https://www.edgeprop.sg/condo-apartment/joo-chiat-mansions,https://www.edgeprop.sg/condo-apartment/joo-chiat-mansions,"1,543","2,158",1.4,JOO CHIAT MANSIONS,Joo Chiat Place (and 1 others),"427303, 427897, 427456, 427884",Apartment,Freehold,D15 / Geylang,1986,24 units,"S$ 1,414 psf in May 2022 for a 1,238-sqft unit",-4.6%,"S$ 331 psf in Dec 2005 for a 1,238-sqft unit","Singaporean 84.8%, PR 8.7%, Foreigner 0.0%, Company 6.5%","HDB 31.0%, Private 69.0%","S$ 1,349 - S$ 1,349 psf / S$ 1,349 psf",S$ 3.2 - S$ 4.0 psf pm / S$ 3.6 psf pm,3.2%,,,,,,joo-chiat-mansions,185 JOO CHIAT PLACE JOO CHIAT MANSIONS SINGAPORE 427897,427897,1.31414358091839,103.904364654172,185,JOO CHIAT PLACE,JOO CHIAT MANSIONS,EUNOS MRT STATION,612.4126863497817,Exit C
BALESTIER POINT,balestier-point,https://www.edgeprop.sg/condo-apartment/balestier-point,https://www.edgeprop.sg/condo-apartment/balestier-point,"6,126","18,378",3.0,BALESTIER POINT,Balestier Road,329727,Apartment,Freehold,D12 / Novena,1986,68 units,"S$ 1,256 psf in Aug 2024 for a 1,313-sqft unit",0.0%,"S$ 278 psf in Jul 2001 for a 4,058-sqft unit","Singaporean 83.0%, PR 10.4%, Foreigner 5.7%, Company 0.0%","HDB 47.6%, Private 52.4%","S$ 1,256 - S$ 1,256 psf / S$ 1,256 psf",S$ 2.3 - S$ 4.9 psf pm / S$ 3.4 psf pm,3.3%,,,,,,balestier-point,279 BALESTIER ROAD BALESTIER POINT SINGAPORE 329727,329727,1.32281193728737,103.852026274201,279,BALESTIER ROAD,BALESTIER POINT,NOVENA MRT STATION,870.1679145843439,Exit A
BALLOTA PARK CONDOMINIUM,ballota-park-condominium,https://www.edgeprop.sg/condo-apartment/ballota-park-condominium,https://www.edgeprop.sg/condo-apartment/ballota-park-condominium,"36,860","51,606",1.4,BALLOTA PARK CONDOMINIUM,Mariam Way,"507079, 507080, 507081, 507082, 507083, 507084, 507085, 507086",Condominium,Freehold,D17 / Pasir Ris,2000,365 units,"S$ 1,144 psf in Nov 2024 for a 1,442-sqft unit",-9.4%,"S$ 324 psf in May 2004 for a 1,421-sqft unit","Singaporean 86.6%, PR 7.7%, Foreigner 2.7%, Company 1.2%","HDB 56.4%, Private 43.6%","S$ 897 - S$ 1,144 psf / S$ 1,037 psf",S$ 2.1 - S$ 4.0 psf pm / S$ 2.9 psf pm,3.3%,,25.0,,,,ballota-park-condominium,150 MARIAM WAY BALLOTA PARK CONDOMINIUM SINGAPORE 507079,507079,1.35887799120341,103.96852443877,150,MARIAM WAY,BALLOTA PARK CONDOMINIUM,TAMPINES EAST MRT STATION,1439.3918038038396,Exit D
CAIRNHILL RESIDENCES,cairnhill-residences,https://www.edgeprop.sg/condo-apartment/cairnhill-residences,https://www.edgeprop.sg/condo-apartment/cairnhill-residences,"3,877","10,854",2.8,CAIRNHILL RESIDENCES,Cairnhill Circle,"229774, 229775",Apartment,Freehold,D9 / Orchard,2009,97 units,"S$ 2,693 psf in Sep 2024 for a 1,173-sqft unit",-1.2%,"S$ 1,195 psf in Dec 2006 for a 2,239-sqft unit","Singaporean 55.1%, PR 10.7%, Foreigner 27.0%, Company 7.3%","HDB 11.2%, Private 88.8%","S$ 2,600 - S$ 2,693 psf / S$ 2,661 psf",S$ 4.0 - S$ 6.5 psf pm / S$ 5.6 psf pm,2.5%,CAIRNHILL GREEN PTE LTD,16.0,3P ARCHITECTS,KIMLY CONSTRUCTION PTE LTD,,cairnhill-residences,33 CAIRNHILL CIRCLE CAIRNHILL RESIDENCES SINGAPORE 229775,229775,1.30818049702388,103.838705136023,33,CAIRNHILL CIRCLE,CAIRNHILL RESIDENCES,NEWTON MRT STATION,436.45801106237735,Exit B
CEYLON RESIDENCE,ceylon-residence,https://www.edgeprop.sg/condo-apartment/ceylon-residence,https://www.edgeprop.sg/condo-apartment/ceylon-residence,"1,720","2,407",1.4,CEYLON RESIDENCE,Ceylon Road,429690,Apartment,Freehold,D15 / Marine Parade,2011,22 units,"S$ 1,378 psf in Dec 2020 for a 936-sqft unit",0.0%,"S$ 760 psf in May 2011 for a 2,217-sqft unit","Singaporean 83.3%, PR 4.2%, Foreigner 12.5%, Company 0.0%","HDB 29.2%, Private 70.8%","S$ 1,378 - S$ 1,378 psf / S$ 1,378 psf",S$ 2.8 - S$ 4.1 psf pm / S$ 3.6 psf pm,3.1%,ALPHALAND INTERNATIONAL PTE LTD,14.0,,,,ceylon-residence,107 CEYLON ROAD CEYLON RESIDENCE SINGAPORE 429690,429690,1.30899729089026,103.899835000107,107,CEYLON ROAD,CEYLON RESIDENCE,DAKOTA MRT STATION,1170.5078901375557,Exit A
ENG APARTMENTS,eng-apartments,https://www.edgeprop.sg/condo-apartment/eng-apartments,https://www.edgeprop.sg/condo-apartment/eng-apartments,"1,062","2,973",2.8,ENG APARTMENTS,LORONG 25A GEYLANG,388230,Apartment,Freehold,D14 / Geylang,1995,6 units,"S$ 1,028 psf in Oct 2020 for a 1,109-sqft unit",0.0%,"S$ 1,028 psf in Oct 2020 for a 1,109-sqft unit","Singaporean 83.3%, PR 0.0%, Foreigner 16.7%, Company 0.0%","HDB 0.0%, Private 100.0%","S$ 1,028 - S$ 1,028 psf / S$ 1,028 psf",S$ 3.8 - S$ 3.8 psf pm / S$ 3.8 psf pm,4.5%,,,,,,eng-apartments,25 LORONG 25A GEYLANG ENG APARTMENTS SINGAPORE 388230,388230,1.31418513616608,103.882905262718,25,LORONG 25A GEYLANG,ENG APARTMENTS,ALJUNIED MRT STATION,232.7965806207594,Exit A
JARDIN,jardin,https://www.edgeprop.sg/condo-apartment/jardin,https://www.edgeprop.sg/condo-apartment/jardin,"7,491","15,731",2.07,JARDIN,Dunearn Road,"589488, 589489",Condominium,Freehold,D21 / Bukit Timah,2012,140 units,"S$ 2,227 psf in Aug 2012 for a 1,787-sqft unit",-11.4%,"S$ 1,112 psf in Feb 2016 for a 1,259-sqft unit","Singaporean 52.9%, PR 11.0%, Foreigner 35.1%, Company 1.0%","HDB 17.7%, Private 82.3%","S$ 1,902 - S$ 2,035 psf / S$ 1,973 psf",S$ 3.5 - S$ 5.6 psf pm / S$ 4.3 psf pm,2.6%,YHS DUNEARN PTE LTD,13.0,DP ARCHITECTS PTE LTD,CHINA CONSTRUCTION BUILDERS PTE LTD,,jardin,966 DUNEARN ROAD JARDIN SINGAPORE 589488,589488,1.33772750116803,103.780072604798,966,DUNEARN ROAD,JARDIN,KING ALBERT PARK MRT STATION,409.1749816410368,Exit A
ROYALGREEN,royalgreen,https://www.edgeprop.sg/condo-apartment/royalgreen,https://www.edgeprop.sg/condo-apartment/royalgreen,"16,182","22,709",1.4,ROYALGREEN,Anamalai Avenue,"279988, 279989, 279990, 279991, 279992, 279993, 279994, 279995, 279996",Condominium,Freehold,D10 / Bukit Timah,2021,285 units,"S$ 3,003 psf in Oct 2022 for a 721-sqft unit",-3.7%,"S$ 2,511 psf in Aug 2021 for a 721-sqft unit","Singaporean 71.4%, PR 12.2%, Foreigner 16.4%, Company 0.0%","HDB 17.6%, Private 82.4%","S$ 2,780 - S$ 2,981 psf / S$ 2,892 psf",S$ 5.3 - S$ 8.9 psf pm / S$ 6.5 psf pm,2.7%,SKY TOP INVESTMENTS PTE LTD,4.0,,,,royalgreen,6B ANAMALAI AVENUE ROYALGREEN SINGAPORE 279996,279996,1.33082085734747,103.794158235766,6B,ANAMALAI AVENUE,ROYALGREEN,SIXTH AVENUE MRT STATION,267.705751676352,Exit A
SELETARIS,seletaris,https://www.edgeprop.sg/condo-apartment/seletaris,https://www.edgeprop.sg/condo-apartment/seletaris,"31,786","42,984",1.4,SELETARIS,Sembawang Road,"757706, 757707, 757708, 757709, 757710, 757711, 757712",Condominium,Freehold,D27 / Sembawang,2001,328 units,"S$ 1,367 psf in Jan 2025 for a 1,668-sqft unit",-8.0%,"S$ 383 psf in May 2007 for a 1,593-sqft unit","Singaporean 89.2%, PR 7.4%, Foreigner 2.3%, Company 1.1%","HDB 63.9%, Private 36.1%","S$ 1,161 - S$ 1,367 psf / S$ 1,258 psf",S$ 2.3 - S$ 3.5 psf pm / S$ 2.8 psf pm,2.7%,RIVER VALLEY PROPERTIES PTE LTD,24.0,APCO ARCHITECTS & TOWN PLANNERS COLLABORATIVE PTE LTD,CHINA CONSTRUCTION (SOUTH PACIFIC) DEVELOPMENT CO PTE LTD,,seletaris,501 SEMBAWANG ROAD SELETARIS SINGAPORE 757706,757706,1.4358492226796,103.824971641966,501,SEMBAWANG ROAD,SELETARIS,CANBERRA MRT STATION,935.1052871420072,Exit C
GOLDHILL TOWERS,goldhill-towers,https://www.edgeprop.sg/condo-apartment/goldhill-towers,https://www.edgeprop.sg/condo-apartment/goldhill-towers,"4,001",,,GOLDHILL TOWERS,Goldhill Avenue,"309021, 309023, 309025, 309027",Apartment,Freehold,D11 / Novena,1989,50 units,"S$ 2,458 psf in Feb 2025 for a 1,550-sqft unit",-3.7%,"S$ 523 psf in Jun 2005 for a 1,550-sqft unit","Singaporean 88.2%, PR 8.8%, Foreigner 0.0%, Company 0.0%","HDB 12.1%, Private 87.9%","S$ 2,290 - S$ 2,458 psf / S$ 2,368 psf",S$ 3.2 - S$ 4.7 psf pm / S$ 4.0 psf pm,2.0%,,,,,,goldhill-towers,38 GOLDHILL AVENUE GOLDHILL TOWERS SINGAPORE 309021,309021,1.32063427888985,103.833512083526,38,GOLDHILL AVENUE,GOLDHILL TOWERS,STEVENS MRT STATION,799.9362572174548,Exit 5
CEYLON POINT,ceylon-point,https://www.edgeprop.sg/condo-apartment/ceylon-point,https://www.edgeprop.sg/condo-apartment/ceylon-point,694,972,1.4,CEYLON POINT,Ceylon Road,429674,Apartment,Freehold,D15 / Marine Parade,2013,15 units,"S$ 1,292 psf in Jun 2011 for a 592-sqft unit",-0.1%,"S$ 850 psf in Jun 2011 for a 1,808-sqft unit","Singaporean 0.0%, PR 0.0%, Foreigner 100.0%, Company 0.0%","HDB 0.0%, Private 100.0%","S$ 1,291 - S$ 1,291 psf / S$ 1,291 psf",S$ 2.6 - S$ 5.5 psf pm / S$ 4.7 psf pm,4.4%,MOOVENUSS HOMES PTE LTD,12.0,,,,ceylon-point,94 CEYLON ROAD CEYLON POINT SINGAPORE 429674,429674,1.3085172163599,103.900875479884,94,CEYLON ROAD,CEYLON POINT,EUNOS MRT STATION,1242.7506106449578,Exit B
REGENT GROVE,regent-grove,https://www.edgeprop.sg/condo-apartment/regent-grove,https://www.edgeprop.sg/condo-apartment/regent-grove,"22,859","68,574",3.0,REGENT GROVE,Choa Chu Kang North 7 (and 1 others),"689527, 689528, 689529",Condominium,"99 Yrs From 17/05/1997, 99 Yrs From 17/05/199",D23 / Choa Chu Kang,2000,553 units,"S$ 1,101 psf in May 2025 for a 1,163-sqft unit",-7.4%,"S$ 323 psf in Feb 2007 for a 1,550-sqft unit","Singaporean 69.3%, PR 23.8%, Foreigner 5.3%, Company 1.2%","HDB 76.9%, Private 23.1%","S$ 938 - S$ 1,101 psf / S$ 1,020 psf",S$ 2.8 - S$ 3.8 psf pm / S$ 3.4 psf pm,4.0%,SEASONS GREEN LTD,25.0,RDC ARCHITECTS PTE LTD,HEXACON CONSTRUCTION PTE LTD,,regent-grove,50 CHOA CHU KANG NORTH 7 REGENT GROVE SINGAPORE 689527,689527,1.39931151971397,103.748806666421,50,CHOA CHU KANG NORTH 7,REGENT GROVE,YEW TEE MRT STATION,214.652778359396,Exit B
BEVERLY HILL,beverly-hill,https://www.edgeprop.sg/condo-apartment/beverly-hill,https://www.edgeprop.sg/condo-apartment/beverly-hill,"13,832","29,044",2.1,BEVERLY HILL,Grange Road,249570,Condominium,Freehold,D10 / Tanglin,1983,88 units,"S$ 2,668 psf in Jan 2025 for a 3,778-sqft unit",-7.4%,"S$ 556 psf in Feb 1999 for a 3,778-sqft unit","Singaporean 36.1%, PR 27.7%, Foreigner 22.7%, Company 13.4%","HDB 2.5%, Private 97.5%","S$ 2,316 - S$ 2,668 psf / S$ 2,471 psf",,,,,,,,beverly-hill,61 GRANGE ROAD BEVERLY HILL SINGAPORE 249570,249570,1.29850482255037,103.825566227543,61,GRANGE ROAD,BEVERLY HILL,ORCHARD BOULEVARD MRT STATION,477.7404876516376,Exit 2
THE HILLSIDE,the-hillside,https://www.edgeprop.sg/condo-apartment/the-hillside,https://www.edgeprop.sg/condo-apartment/the-hillside,"26,990","37,638",1.4,THE HILLSIDE,Upper Bukit Timah Road,"588195, 588196, 588197, 588198",Condominium,Freehold,D21 / Bukit Batok,2001,340 units,"S$ 1,772 psf in Jul 2024 for a 1,044-sqft unit",-8.9%,"S$ 275 psf in Oct 2002 for a 1,636-sqft unit","Singaporean 79.6%, PR 11.5%, Foreigner 6.6%, Company 0.8%","HDB 41.2%, Private 58.8%","S$ 1,500 - S$ 1,772 psf / S$ 1,615 psf",S$ 2.5 - S$ 4.1 psf pm / S$ 3.3 psf pm,2.4%,BUKITVILLE INVESTMENT PTE LTD,24.0,RSP ARCHITECTS PLANNERS & ENGINEERS (PTE) LTD,WOH HUP (PRIVATE) LIMITED,,the-hillside,341 UPPER BUKIT TIMAH ROAD THE HILLSIDE SINGAPORE 588195,588195,1.35220553308391,103.768114960124,341,UPPER BUKIT TIMAH ROAD,THE HILLSIDE,HILLVIEW MRT STATION,1104.156656619465,Exit B
VIVA,viva,https://www.edgeprop.sg/condo-apartment/viva,https://www.edgeprop.sg/condo-apartment/viva,"11,828","33,119",2.8,VIVA,Suffolk Walk,"307462, 307463, 307464, 307465",Condominium,Freehold,D11 / Novena,2012,235 units,"S$ 2,761 psf in Jan 2025 for a 1,528-sqft unit",-6.0%,"S$ 1,242 psf in Feb 2010 for a 6,340-sqft unit","Singaporean 56.5%, PR 15.7%, Foreigner 24.1%, Company 3.8%","HDB 12.2%, Private 87.8%","S$ 2,405 - S$ 2,761 psf / S$ 2,596 psf",S$ 4.6 - S$ 7.4 psf pm / S$ 5.7 psf pm,2.6%,THOMSON PEAK PTE LTD,13.0,DESIGN LINK ARCHITECTS,TIONG AIK CONSTRUCTION PTE LTD,,viva,2 SUFFOLK WALK VIVA SINGAPORE 307462,307462,1.31565586377638,103.844444721095,2,SUFFOLK WALK,VIVA,NOVENA MRT STATION,487.208163859098,Exit B
EBER GARDENS,eber-gardens,https://www.edgeprop.sg/condo-apartment/eber-gardens,https://www.edgeprop.sg/condo-apartment/eber-gardens,"3,809",,,EBER GARDENS,Eber Road,"239756, 239757, 239758, 239759, 239760, 239761, 239762, 239763",Condominium,Freehold,D9 / Orchard,1991,14 units,"S$ 1,636 psf in Mar 2020 for a 1,711-sqft unit",0.0%,"S$ 623 psf in Mar 1996 for a 2,088-sqft unit","Singaporean 75.0%, PR 25.0%, Foreigner 0.0%, Company 0.0%","HDB 12.5%, Private 87.5%","S$ 1,636 - S$ 1,636 psf / S$ 1,636 psf",S$ 3.1 - S$ 3.7 psf pm / S$ 3.4 psf pm,2.5%,,,,,,eber-gardens,1 EBER ROAD EBER GARDENS SINGAPORE 239756,239756,1.29874865744547,103.840315207211,1,EBER ROAD,EBER GARDENS,SOMERSET MRT STATION,178.08402273946248,Exit D
EUNOS GREEN,eunos-green,https://www.edgeprop.sg/condo-apartment/eunos-green,https://www.edgeprop.sg/condo-apartment/eunos-green,"4,539","6,272",1.4,EUNOS GREEN,Sims Avenue East,416558,Condominium,Freehold,D14 / Bedok,1998,34 units,"S$ 1,030 psf in Apr 2013 for a 1,432-sqft unit",-6.2%,"S$ 372 psf in Jul 2003 for a 1,346-sqft unit","Singaporean 92.9%, PR 2.4%, Foreigner 4.8%, Company 0.0%","HDB 61.9%, Private 38.1%",S$ 966 - S$ 966 psf / S$ 966 psf,S$ 3.2 - S$ 3.7 psf pm / S$ 3.3 psf pm,4.2%,,,,,,eunos-green,10 SIMS AVENUE EAST EUNOS GREEN SINGAPORE 416558,416558,1.31869288808784,103.905749453707,10,SIMS AVENUE EAST,EUNOS GREEN,EUNOS MRT STATION,296.6993333652096,Exit C
CASA SARINA,casa-sarina,https://www.edgeprop.sg/condo-apartment/casa-sarina,https://www.edgeprop.sg/condo-apartment/casa-sarina,"12,090","17,321",1.4,CASA SARINA,Lorong Sarina,"416729, 416730","Condominium, Apartment",Freehold,D14 / Bedok,1998,138 units,"S$ 1,429 psf in Nov 2023 for a 1,259-sqft unit",-6.2%,"S$ 357 psf in Dec 2002 for a 1,399-sqft unit","Singaporean 89.7%, PR 5.0%, Foreigner 4.2%, Company 0.4%","HDB 53.3%, Private 46.7%","S$ 1,340 - S$ 1,340 psf / S$ 1,340 psf",S$ 2.8 - S$ 4.6 psf pm / S$ 3.4 psf pm,3.1%,,,,,,casa-sarina,101 LORONG SARINA CASA SARINA SINGAPORE 416729,416729,1.32018967220914,103.906865928269,101,LORONG SARINA,CASA SARINA,EUNOS MRT STATION,412.4135029425465,Exit C
STURDEE RESIDENCES,sturdee-residences,https://www.edgeprop.sg/condo-apartment/sturdee-residences,https://www.edgeprop.sg/condo-apartment/sturdee-residences,"6,111","21,390",3.5,STURDEE RESIDENCES,Beatty Road,209955,Condominium,"99 Years Leasehold, 99 Yrs From 29/06/2015",D8 / Kallang,2019,305 units,"S$ 2,294 psf in Mar 2025 for a 1,033-sqft unit",-8.2%,"S$ 1,352 psf in Sep 2017 for a 1,302-sqft unit","Singaporean 80.7%, PR 12.1%, Foreigner 7.2%, Company 0.0%","HDB 55.4%, Private 44.6%","S$ 1,919 - S$ 2,294 psf / S$ 2,107 psf",S$ 3.3 - S$ 8.7 psf pm / S$ 6.6 psf pm,3.8%,SL CAPITAL (1) PTE LTD,6.0,,,,sturdee-residences,10 BEATTY ROAD STURDEE RESIDENCES SINGAPORE 209955,209955,1.31291695250751,103.859047068258,10,BEATTY ROAD,STURDEE RESIDENCES,FARRER PARK MRT STATION,347.3026498695407,Exit H
PARC HAVEN,parc-haven,https://www.edgeprop.sg/condo-apartment/parc-haven,https://www.edgeprop.sg/condo-apartment/parc-haven,"5,484","15,354",2.8,PARC HAVEN,Lorong Limau,"328741, 328742, 328743",Apartment,Freehold,D12 / Novena,2004,137 units,"S$ 1,537 psf in Nov 2011 for a 452-sqft unit",-15.6%,"S$ 306 psf in Jul 2005 for a 2,669-sqft unit","Singaporean 73.3%, PR 13.3%, Foreigner 9.6%, Company 3.8%","HDB 51.7%, Private 48.3%","S$ 1,187 - S$ 1,407 psf / S$ 1,297 psf",S$ 3.0 - S$ 6.3 psf pm / S$ 4.5 psf pm,4.2%,GOODVAL INVESTMENTS PTE LTD,21.0,JAMES YIP & PARTNERS,CHENG POH BUILDING CONSTRUCTION PTE LTD,,parc-haven,16 LORONG LIMAU PARC HAVEN SINGAPORE 328743,328743,1.32393602440371,103.854736311503,16,LORONG LIMAU,PARC HAVEN,BOON KENG MRT STATION,864.3028071633554,Exit A
LA FLEUR,la-fleur,https://www.edgeprop.sg/condo-apartment/la-fleur,https://www.edgeprop.sg/condo-apartment/la-fleur,862,"2,415",2.8,LA FLEUR,LORONG 26 GEYLANG,398483,Apartment,Freehold,D14 / Geylang,2014,58 units,"S$ 1,516 psf in Dec 2024 for a 409-sqft unit",-1.3%,S$ 974 psf in Feb 2021 for a 667-sqft unit,"Singaporean 68.2%, PR 23.9%, Foreigner 8.0%, Company 0.0%","HDB 65.9%, Private 34.1%","S$ 1,473 - S$ 1,516 psf / S$ 1,496 psf",S$ 4.9 - S$ 7.3 psf pm / S$ 5.8 psf pm,4.6%,TEAMBUILD PROPERTIES PTE LTD,11.0,,,,la-fleur,8 LORONG 26 GEYLANG LA FLEUR SINGAPORE 398483,398483,1.31244454232324,103.884576516653,8,LORONG 26 GEYLANG,LA FLEUR,ALJUNIED MRT STATION,481.0715988932653,Exit A
DUNEARN LODGE,dunearn-lodge,https://www.edgeprop.sg/condo-apartment/dunearn-lodge,https://www.edgeprop.sg/condo-apartment/dunearn-lodge,"1,395","1,954",1.4,DUNEARN LODGE,Dunearn Road,289674,Apartment,99 Yrs From 14/05/1993,D11 / Bukit Timah,1997,14 units,"S$ 1,457 psf in Mar 2025 for a 1,098-sqft unit",0.0%,"S$ 474 psf in Apr 2006 for a 1,098-sqft unit","Singaporean 86.8%, PR 2.6%, Foreigner 5.3%, Company 2.6%","HDB 45.9%, Private 54.1%","S$ 1,457 - S$ 1,457 psf / S$ 1,457 psf",S$ 2.9 - S$ 2.9 psf pm / S$ 2.9 psf pm,2.4%,,,,,,dunearn-lodge,408 DUNEARN ROAD DUNEARN LODGE SINGAPORE 289674,289674,1.32496337821747,103.810317115677,408,DUNEARN ROAD,DUNEARN LODGE,TAN KAH KEE MRT STATION,282.9159796028567,Exit A
